app_family_mots,active_org,asset_id,application_name,auto_sub_cat3,closed_date,current_ticket_state,durations,delivery_center,effort,hold_time,last_modified_time,last_resolved_date,lob_name,owner_name,problem_abstract,problem_mapping,reported_date_time,responded_date,service_restored_date,severity,sla_response,sla_contract,system_user,ticket_number,ticket_source,ticket_type,time_submitted,work_queue
Project 1,Org_1,,MSTR,Functionality,17-01-17 5:17,Closed,3498,Not Defined,240,10,17-01-17 5:17,17-01-17 5:17,BI Reports,,PROD MACHINE : laq9ndwpr01 : Job dat-inh-rdm-q9n558_rdm550sqppsmdf.s failed with exit code 100,Not Defined,14-01-17 6:18,Not Defined,17-01-17 5:17,3,Met,Met,BI Data,INC000020793173,Remedy,Incident,14-01-17 6:18,SRVCAM-AM BI-Data
Project 1,Org_1,,MSTR,Configuration,15-01-17 5:17,In Progress,1198924,Not Defined,Not Defined,10,15-01-17 5:17,14-01-17 5:11,BI Reports,owner_name1387,Access enabled. Confirmed from user.,Not Defined,30-01-16 3:44,30-01-16 3:44,13-02-16 12:46,3,Met,Met,BI Reports,INC000019343584,Remedy,Incident,30-01-16 3:44,SRVCAM-AM BI-Reports
Project 1,Org_1,,MSTR,Training / How to,15-01-17 5:17,In Progress,650,Not Defined,150,10,15-01-17 5:17,15-01-17 5:17,BI Reports,owner_name2398,PROD MACHINE  vwhemstpr05: Error Code: 510 Job rpt-inh-mst-lcl711_slv0003.f is running longer than t,Not Defined,13-01-17 5:00,Not Defined,14-01-17 5:11,2,Met,Met,BI Reports,INC000020793217,Remedy,Incident,13-01-17 5:00,SRVCAM-AM BI-Reports
Project 1,Org_1,,MSTR,Access,16-01-17 5:41,In Progress,3618,Not Defined,240,10,16-01-17 5:41,15-01-17 5:17,BI Reports,owner_name3272,PROD MACHINE  laq9ndwpr01: Error Code: 510 Job dat-inh-rdm-q9n558_rdm550sqppsmdf.s is running longer,Not Defined,13-01-17 4:16,Not Defined,15-01-17 5:17,3,Met,Met,BI Data,INC000020793170,Remedy,Incident,13-01-17 4:16,SRVCAM-AM BI-Data
Project 1,Org_1,,MSTR,,24-01-16 3:21,In Progress,1138247,Not Defined,Not Defined,10,24-01-16 3:21,16-01-17 5:41,BI Reports,,The job has failed as the report got failed due to save to document error for 31st May. Job kept ON ICE temporarily,Not Defined,31-05-16 9:01,31-05-16 9:07,13-06-16 1:12,3,Met,Met,BI Reports,INC000019866513,Remedy,Incident,31-05-16 9:01,SRVCAM-AM BI-Reports
Project 1,Org_1,,MSTR,Access,14-05-16 11:43,Resolved,5123930,Not Defined,Not Defined,10,25-01-16 8:59,13-01-17 5:17,BI Reports,owner_name2513,User confirmed that issue has been addressed.,Not Defined,16-03-16 4:24,16-03-16 4:24,14-05-16 11:43,2,Met,Met,BI Data,INC000019562669,Remedy,Service Request,16-03-16 4:24,SRVCAM-AM BI-Data
Project 1,Org_1,Desktop Software,MSTR,Service Unavailable,14-02-16 2:21,In Progress,1560918,Not Defined,Not Defined,10,24-01-16 6:58,14-01-17 5:11,BI Reports,owner_name1966,Converted to PBI #PBI000000178355 for further investigation.,Not Defined,27-01-16 12:46,Not Defined,14-02-16 2:21,4,Met,Met,BI Reports,INC000019331669,Remedy,Incident,27-01-16 12:46,SRVCAM-AM BI-Reports
Project 1,Org_1,,Admin,Other,14-05-16 9:31,In Progress,1329228,Not Defined,Not Defined,10,13-01-17 5:42,13-01-17 5:17,Admin,owner_name3104,User's account has been enabled. Please raise a new ticket if any issue is faced.,Not Defined,29-04-16 12:17,29-04-16 12:17,14-05-16 9:31,3,Met,Met,BI Admin,INC000019728232,Remedy,Incident,29-04-16 12:17,SRVCAM-AM BI-Reports Admin
Project 1,Org_1,Directory,MSTR,Password Reset,13-01-17 11:44,In Progress,23116,Not Defined,240,10,13-01-17 11:45,16-01-17 5:41,BI Reports,owner_name2398,PROD MACHINE : laq9ndwpr01 : Job dat-inh-rdm-q9n651_prd641fast.s failed with exit code 121,Not Defined,13-01-17 5:19,Not Defined,15-01-17 5:17,3,Met,Met,BI Data,INC000020792195,Remedy,Incident,13-01-17 5:19,SRVCAM-AM BI-Data
Project 1,Org_1,Directory,MSTR,Profile,14-05-16 9:59,In Progress,1343426,Not Defined,Not Defined,10,14-05-16 9:59,15-01-17 5:17,BI Reports,owner_name834,Details Provided.,Not Defined,29-04-16 8:48,Not Defined,14-05-16 9:59,3,Met,Met,BI Data,INC000019726576,Remedy,Service Request,29-04-16 8:48,SRVCAM-AM BI-Data
